,french,wolof
10344,"Quand on est étranger, il faut se laisser guider.","Boo dee gan, dangay nangoo wommatu."
10345,Ne le frappe pas sur la tête avec les doigts repliés.,Bu ko di woŋ.
10346,Montre-moi ta main droite !,Won ma sa loxo ndeyjoor !
10347,Essore-le avant de l'étaler !,Woñ ko bala nga koy weer !
10348,Ne lui tords pas le bras !,Bul woñaar loxoom !
10349,"En tombant, il avait la main tordue; c'est pour cela qu'il a eu une fracture.","Bi muy daanu, loxo bi dafa woñaaru woon; moo tax mu damm."
10350,J'ai des contractions abdominales.,Sama biir bi dafay woñaaru.
10351,"Quand je déglutis, ça fait mal.",Bu may wonaasu dafay metti.
10352,Ta déglutition est due au citron que tu as vu.,"Sa wonaasu bi, limoŋ bi nga gis a ko waral."
10353,Présente ton mari à ta tante paternelle !,Wonaleel sa jëkkër ak sa bàjjen !
10354,Que chacun montre ses documents.,Na ku nekk wone ay kayitam.
10355,"Avec le temps, on découvre la cicatrice qui est sur les fesses.",Yàgg ay wone légétub taat.
10356,"Tant que tu seras là, il ne se montrera pas.","Feek yaa ngi fi, du wonewu."
10357,Il est ton ami mais il aime trop se faire voir.,"Sa xarit la, waaye dafa bëgg wonewu lool."
10358,"Alors, il alla au pied du palissandre.","Noona, mu dem ca taatu won ga."
10359,Il va avaler les noyaux des jujubes.,Dafay wonn xooxi siddéem yi.
10360,"Si tu arrives ici, l'eau t'engloutit.","Soo agsee fii, ndox mi wonn la."
10361,Va compter les oeufs !,Demal woññ nen yi !
10362,Pourquoi ne dénicherions-nous pas les petits ?,Tee ñoo wonni doom yi ?
10363,Ce qui avait cours n'a plus cours.,"La woon, wonni na."
10364,Qui t'a fait rebrousser chemin ?,Ku la woññi ?
10365,Attends que je sois de retour.,Xaaral ba ma woññiku.
10366,Va appeler Moussa !,Demal woo Musaa !
10367,Je vous ai convoqués pour vous demander votre point de vue.,Dama leen woolu ngir laaj leen seen xalaat.
10368,Son commerce est vraiment prospère maintenant.,Njaayam ma woom na kay léegi.
10369,Va entrebâiller la porte.,Demal wooñ bunt bi.
10370,Elle ne doit pas jeûner : elle est enceinte.,"Warul woor, dafa ëmb."
10371,J'ai appelé et personne n'a répondu.,"Dama woote, kenn wuyuwul."
10372,Il se fait passer pour un guérisseur.,Dafay woote jabaraankat.
10373,"Là-bas, on l'appelle Boy-Dakar.","Foofa, Booy-Dakaar lañu koy wooye."
10374,Il est malade.,Dafa wopp.
10375,C'est une maladie facile à soigner.,Wopp ju yomba faj la.
10376,Tu l'as trahi.,Wor nga ko.
10377,"C'est lundi prochain qu'on va fêter la fin du ramadan, s'il plaît à Dieu.",Altine biy ñów lañuy wori bu soobee Yàlla.
10378,C'est quelqu'un qui mérite d'être respecté.,Ku jara wormaal la.
10379,Tout le monde atteste qu'il a du respect envers les adultes.,Ñépp seede nañu ne ku am worma la ci mag ñi.
10380,Ces tissus ont un aspect similaire mais ils ont des différences.,"Piis yi xellami na, waaye woroo nañu."
10381,C'est dans la broussaille que le lion a dévoré la vache.,Ca worox wa la gaynde gi lekke nag wi.
10382,Place-le sur un trépied pour que ça ne brûle pas.,Wos ko ndax du xëm.
10383,C'est le tien.,Sa wos la.
10384,Enlève le trépied afin qu'il cuise vite !,Dindil wos gi ndax mu gaawa ñor !
10385,"Je ne sais pas mieux que toi ce que tu dois faire, je voulais seulement m'acquitter d'une obligation, en te disant de lui serrer la main.","Gënuma laa xam li nga wara def, dama doon woslu-àq rekk bi ma lay wax nga jox ko loxo."
10386,Comme ta coupe de cheveux est laide !,Sa woteef gee ka ñaaw !
10387,Il a acheté une belle voiture.,Jénd na woto bu rafet.
10388,Tu feras attention à cet individu.,Nanga wottu waa jooju.
10389,Surveille-moi ma marchandise jusqu'à ce que je revienne !,Wottul ma sama njaay mi ba ma dellusi !
10390,Je me rase.,Damay wotu.
10391,Votre coupe a pris du temps.,Seen wotu gi yàgg na di.
10392,As-tu du couscous séché ?,Am nga cere ju wow ?
10393,C'est l'air qui te dessèche les lèvres.,Ngelaw li mooy wowal sa tuñ yi.
10394,Cet enfant est effronté.,Gone gii dafa wow-bët.
10395,Je chante.,Damay woy.
10396,Le griot vivait des louanges qu'il faisait.,Géwël woyaan la daan dunde.
10397,Prends le sac le plus léger !,Jélal saaku bi gëna woyof !
10398,C'est une personne simple.,Nit ku woyof la.
10399,Qui t'a appris le chant ?,Ku la jàngal woy wi ?
10400,"Je vais le mettre quelques mois à l'écurie pour l'engraisser, puis je le revends.",Dama koy wudd ay weer daldi koy jaayaat.
10401,"Tu devrais agrandir l'écurie, les chevaux commencent à être à l'étroit.","Danga wara yokk wudd wi, fas yaa ngiy bëgga xat."
10402,Deux coépouses qui s'entendent bien.,Ñaari wujj yu déggoo bu baax.
10403,C'est quand je t'ai vu fouler le cuir que j'ai compris que tu avais l'intention de le vendre.,Ba ma la gisee ngay wulli der gi laa nànd ne danga ko nara jaay.
10404,On l'a bien battu.,Wulli nañu ko bu baax.
10405,Dis à Omar que je veux qu'il dompte le cheval avant lundi.,Neel Omar dama bëgg mu wulli fas wi bala altine.
10406,Tu ne sais pas ce que ces propos veulent dire implicitement; c'est du wolof profond.,"Wax ji, li mu wund, xamuloo ko; wolof bu xóot la."
10407,Chaque mois.,Weer wu-nekk.
10408,Ne révèle pas ses secrets intimes.,Bul wuññi suturaam.
10409,"Quand le maître-forgeron s'en est allé, que fait encore là le préposé au soufflet, si ce n'est encombrer la forge ?","Bu tëgg demee, lu fa wupp ay def, xanaa xatal mbaar ?"
10410,L'eau est arrivée jusqu'à ma cheville.,Ndox mi agsi na ba ci sama wuq wi.
10411,Il joue pour de l'argent; c'est pour ça qu'il n'a rien.,Dafay wure; moo tax amul dara.
10412,Votre partie d'awale a pris du temps.,Seen wure wi yàgg na.
10413,C'est un gars qui est un truand.,Waa ju wuruj la.
10414,Bracelet en or.,Lamu wurus.
10415,Il cherche son mouton.,Xaram lay wut.
10416,Je cherche de quoi nourrir mes enfants.,Damay wut lu may dundale samay doom.
10417,Il cherche à se venger.,Dafay wuta feyyu.
10418,Qu'est-ce qui différencie le varan d'eau du varan de terre ?,Lu wutale bar ak mbëtt ?
10419,"Sus, au voleur !","Wuub, sàcc !"
10420,Apporte tes chaussures au cordonnier.,Yóbbul sa dàll yi ca wuude ba.
10421,Le cordonnier ne travaille pas le cuir pour lui-même.,Wuude du ëwal boppam.
10422,Elle porte son enfant dans son giron.,Mu ngi wuuf doomam.
10423,Cet arbre est un néré.,"Garab gii, ag wuul la."
10424,Il a mis tout au même niveau.,Maasale na liy wuutale.
10425,Tu as manqué la réunion.,Wuute nga ndaje ma.
10426,Nous n'avons pas encore quelqu'un pour lui succéder.,Amaguñu ku ko wuutu.
10427,Omar est venu ici en ton absence.,Omar wuutu na la fi.
10428,Il y a un cheval qui arrive.,Am na fas wuy dikk.
10429,Le fruit est dans la capsule.,Doom baa ngi ci biir wuy wi.
10430,Il grimpa dans le baobab et se mit à couper des pains de singe.,"Mu yéeg ca guy ga, di dagg i wuy."
10431,"Quand il voudra descendre, tu lui poseras le banc.","Bu bëggee wàcc, nga tegal ko baŋ bi."
10432,Tu as fait ton devoir.,Sa jaan wàcc na.
10433,On sort du travail à cinq heures.,Tàkkusaan lañuy wàcc.
10434,Attends qu'il ait descendu ses bagages.,Xaaral ba mu wàcce ay bagaasam.
10435,"Quand on a la charge de plusieurs personnes, il faut n'en délaisser aucune.","Jaboot dafay boot ñépp, te du wàcce kenn."
10436,Réciter le Coran intégralement.,Wàcce alxuraan.
10437,Nous sommes quittes.,Wàccoo naa ak yow je suis quitte avec toi. Wàccoo nañu.
10438,"Ne me le mets pas au four, grille-le au feu de bois !",Bu ma ko defal ci fuur bi; wàjj ko ak matt !
10439,"C'est ici que tu fais le fanfaron; quand tu vas à l'école, on te frappe jusqu'à ce que tu pleures.","Fii ngay tiitaroo; boo demee ekool, ñu wàkk la ba ngay jooy."
10440,"Il a rabattu et noué le pan de sa culotte par derrière, la lutte va commencer.","Wàkkarci na ngemb la, léegi bëre bi door."
10441,"La fête de la Tabaski est proche, et je n'ai pas encore de mouton; je n'ai plus qu'à m'en remettre à Dieu.","Julli gi ñów na, te amaguma xar; xanaa ma wàkkirlu ci Yàlla."
10442,C'est toi qui m'as contaminé.,Yaa ma wàll.
10443,"Si tu vas de l'autre côté du fleuve, on dit « ham naa »; ici, on dit « am naa ».","Soo demee wàllaa-dex, « ham naa » lañuy wax; fii, ñu naanam naa »."
10444,La rougeole est contagieuse.,Ŋas dafay wàlle.
10445,On prend les habitudes du voisin.,Dëkkandoo day wàlle.
10446,La contamination provient des mains qu'on serre.,Wàllent waa ngiy jóge ci joxe loxo yi.
10447,Une chèvre ne doit pas aller participer à un jeu de lutte pour hyènes.,"Làmbu bukki, bëy du ca wàlli."
10448,Tous les lutteurs étaient venus participer.,Mbër yépp wàllsi woon nañu.
10449,Donne-moi ma part !,Jox ma sama wàll !
10450,C'est ce côté-là qu'il ensemencera de mil.,Wàll wale lay ji dugub.
10451,Il a rêvé qu'il avait pêché une licorne.,Dafa gént napp aw wàngalàng.
10452,Omar a une conjonctivite.,Omar dafa wànnent.
10453,C'est un médicament pour la conjonctivite.,Garabu wànnent la.
10454,Tu diminueras le col.,Nanga wàññi baat bi.
10455,Attends que les invités soient moins nombreux !,Xaaral ba gan ñi wàññiku !
10456,Ñi les personnes handicapées.,Nit ñu wàññiku.
10457,Ma tête me lance.,Sama kaaŋ gaa ngi naan wàŋŋ-wàŋŋ.
10458,Dégage le sable du trou avant de continuer à creuser.,Wàqil suuf si bala ngay gasaat.
10459,"Quand je suis en difficulté, je vais voir mes relations.","Bu ma tolloo diggante, seeti samay wóllëre."
10460,"Ne te fie pas à lui, c'est un voyou !","Bu ko wóolu, saay-saay la !"
10461,Aime la femme mais ne te fie pas à elle.,Jigéen : soppal te bul wóolu.
10462,"Acheter maintenant, c'est plus sûr.","Jénd léegi, moo gëna wóor."
10463,Es-tu sûr de ce que tu dis ?,Ndax li ngay wax wóor na la ?
10464,On ne peut rien cacher de la bonté ou de la méchanceté si tant est qu'elles sont naturelles.,"Baax ak bon, loo ca mana nëbb dafa wóorul."
10465,Sa venue est un peu incertaine.,Dikkam dafa xawa wóoradi.
10466,Je te téléphonerai pour le confirmer.,Dinaa la telefone ngir wóoral ko.
10467,Je veux seulement m'assurer que tu viendras.,Dama bëgg rekk wóorliku ne dinga ñów.
10468,Garde le riz concassé jusqu'à ce que je vienne.,Dencal wóoru ceeb wi ba ma ñów.
10469,"Cet homme avide au gain, si tu traites avec lui, tu le regretteras.","Ku xaabaabal kii, soo defee ak moom, dinga ko réccu."
10470,La corde est courte.,Xaabaan bi dafa gàtt.
10471,"Il poussa un grand cri, puis rendit l'âme.","Mu xaacu, daldi dog."
10472,Il a attaché un beau bélier à l'entrée de sa maison.,Am xaaf la yeew ca buntu këram.
10473,Divise-le en trois.,Xaaj ko ñett.
10474,Il est loin d'être prêt.,Xaajula pare.
10475,Le sac de riz est à moitié plein.,Saaku ceeb bi xaaj na.
10476,Sa guimbarde n'est pas une chose dont on peut être fier.,"Wotoom bu xant boobu, du lu ñuy xaajaane."
10477,Qu'a-t-il à se donner des airs ?,Lu muy xaajaanu ?
10478,Une raie droite.,Xaaj bu jub.
10479,Gardez-en une part pour Omar !,Dencalleen Omar benn xaaj !
10480,Ils se sont partagé le sac de riz.,Xaajoo nañu saaku ceeb bi.
10481,Il est parti d'ici en pleine nuit.,Ci xaaju-guddi la fi jóge.
10482,Il ne sait rien.,Xamul xaala-wala-kasiiran.
10483,Bracelet en argent.,Lamu xaalis.
10484,Je n'ai pas d'argent aujourd'hui.,Amuma xaalis tey.
10485,Il y a beaucoup de melons.,Xaal ji bare na.
10486,Melon.,Xaalu tubaab.
10487,Pastèque.,Xaalu wolof.
10488,Va te laver la figure pour que les traces de bave partent.,Demal sélmu ndax xaamiit yi déñ.
10489,"Si tu n'arrêtes pas de lancer des projectiles, tu vas blesser quelqu'un à la tête.","Soo bàyyiwul saan yi, dinga xaañ nit."
10490,Ils se battaient et se sont fracassés la tête.,Dañu doon xeex ba xaañante.
10491,"Il s'est blessé au crâne, c'est pour cela qu'il pleure.","Dafa xaañu, moo ko tax di jooy."
10492,C'est une lésion crânienne profonde.,Xaañ-xaañ bu xóot la.
10493,C'est ma femme que j'attends.,Sama jabar laay xaar.
10494,Il n'a qu'un défaut : de faire le pique-assiette.,Lenn rekk a ko yàq : xaaraan.
10495,Il est fils unique.,Ab xaar la.
10496,"Celui-là, il me dégoûte.","Kooku, dama ko xaare."
10497,Le train n'attend pas.,Saxaar du xaare.
10498,Le boutiquier est khasonké.,Borom bitik bi xaasonke la.
10499,Tu es déjà prêt ?,Pare nga xaat ?
10500,"Il fit 'rak !', puis 'teuf' !","Mu ne xaax, ne tëf !"
10501,Il y a beaucoup de « chardons » dans le champ.,Tool bi dafa bare xaa-xaam.
10502,C'est un poltron.,Am xaax la.
10503,Il a la manie d'expectorer en public.,Dafa tàmm xaaxtandiku ci biir nit ñi.
10504,"Pour faire de la salade, je préfère des avocats mûrissants.",Awokaa bu xaay moo ma gënal ci salaat.
10505,"Je suis resté ici, on m'a rapporté ce que tu as fait.","Fii laa toog, ñu xabaar ma li nga def."
10506,"La viande est faisandée, baisse le prix !","Yàpp wi dafa xabb, wàññil njëg li !"
10507,"Demain, nous nous retrouverons au mausolée pour enlever l'herbe.","Suba, dañuy daje ca xabru ba ngir dindi ñax ma."
10508,Donne-moi la lime.,Jox ma xacc mi.
10509,"Dès qu'ils sortirent, Coumba entra tout en rage.","Naka lañu génn, Kumba duggsi ak xadar."
10510,Il est d'un tempérament bilieux.,Dafa ànd ak xadar.
10511,C'est demain que nous allons couvrir le toit de ta case.,Ëllëg lanuy xadd sa néeg.
10512,Le chaume n'est pas suffisant.,Xadd bi doyul.
10513,"Ñenti téeméer assembler les bandes d'un pagne, je n'y mettrai pas deux mille francs.","Xaf sér, duma ci fey."
10514,Il a acheté un caftan.,Jénd na xaftaan.
10515,Je ne lave que la partie souillée.,Dama koy xaj rekk.
10516,Il y a des grains de sable dans les dattes.,Tàndarma ji dafa xajam.
10517,Un père qui ne peut pas cohabiter avec son enfant.,Baay joo xam ne manula xajook doomam.
10518,"Finalement, je vais m'en aller; quand il viendra, vous lui direz que j'étais venu le voir.","Damay xala dem; bu dikkee, ngeen ne ko seetsi woon naa ko."
10519,Montre-moi une ligne courbe !,Won ma rëdd bu xala !
10520,Mon Dieu ! tu ne peux pas me laisser tranquille ?,Xalaas ! mënuloo ma bàyyi ?
10521,À quoi penses-tu ?,Looy xalaat ?
10522,Ne te fais aucun souci pour cela.,"Sam xalaat, denc ko ton idée, garde-la ! Bu ci am menn am xalaat."
10523,Sais-tu où est tombé le bâton que tu as lancé ?,Xam nga bant bi nga xalab fi mu dal ?
10524,Voici la deuxième fois que cette jument avorte.,"Ñaareelu yoon baa ngi, wajan wii xalab."
10525,Il dégringolait en direction du sol.,Muy xalab-xalabi wuti suuf.
10526,L'arc s'est brisé.,Xala gi damm na.
10527,On l'a rendu impuissant sexuellement par un sortilège.,Dañu ko takk xala.
10528,Il joue très bien de la guitare.,Mën na xalam lool.
10529,Ce que tu joues sur ta guitare me plaît.,Li ngay xalam neex na ma.
10530,Il leur posait des devinettes.,Dafa leen daan laaj ay xalamalaagaana.
10531,C'est lui qui m'a offert cette guitare.,Moo ma may xalam gii.
10532,Il est guitariste.,Xalamkat la.
10533,"Quand il se vautre sur le sol, laisse-le faire !","Buy xalangu ci suuf si, bàyyi ko, di ko seetaan !"
10534,Un enfant qui n'est pas habitué à l'austérité ne saura pas prendre la vie comme il faut.,Xale bu tàmmul tumuraanke du xam àddina ni mu ware.
10535,Attrape l'enfant !,Jàppal xale bi !
10536,J'enfant ne répète que ce qu'il entend chez lui.,"Lu xale wax, këram la ko dégge."
10537,Une plume n'est qu'une plume.,"Xalima, xalima la rekk."
10538,Je reconnais son écriture.,Ràññee naa xalimaam.
10539,Il veut mettre une peinture crème.,Pintiir bu xall la bëgga def.
10540,"Quand je l'ai vu se boucher les oreilles en chantant, j'ai dit qu'il était de la confrérie tidiane.",Ba ma gisee mu xalmbànde laa ne tiijaan la.
10541,Mets-moi des braises dans le petit fourneau !,Defal ma xal ci furno bu ndaw bi !
10542,Le marabout est en retraite.,Sëriñ bi dafa dugg xalwa.
10543,Je connais le chemin.,Xam naa yoon wi.
10544,Il a des dartres.,Dafa xam.
10545,Un ignorant ne doit pas diriger un pays.,Ku xamadi warula jiite am réew.
10546,C'est un enfant mal élevé.,Gone gu xamadi la.
10547,"C'est par ignorance que je l'ai fait, mais pardonne-moi !","Xamadi rekk a tax ma def ko, waaye jéggal ma !"
10548,"Ce malheur, c'est ton impolitesse qui te l'a valu.","Jéyya jii dey, sag xamadi moo la ko indil."
10549,C'est ça seulement que je voulais vous faire savoir.,Loolu rekk laa leen bëggoona xamal.
10550,C'est quand j'attisais le feu que j'ai rajouté du sel.,Bi may xamb taal bi laa yokk xorom.
10551,Ça vaut la peine de voir Astou attiser.,Xambinu Astu jar na seetaan.
10552,C'est quelqu'un qui a beaucoup de relations.,Waa ju bare ay xame la.
10553,Les dartres t'ont enlaidi.,Xam ji dafa la ñaawal.
10554,"Un enseignement qui ne fait rien savoir, nous n'en voulons pas.","Njàngale mu xamlewul dara, bëgguñu ko."
10555,"Moins le Blanc est intelligent, plus le Noir lui paraît bête; c'est André Gide qui l'a écrit.","Nit ku weex, lu xam-xamam gëna néew, nit ku ñuul gëna rabe ci moom; André Gide a ko bind."
10556,Ñuul sciences occultes.,Xam-xam bu.
10557,Tu as failli me priver de mes bracelets.,Xaw nga maa xañ sama lam yi.
10558,Il ne tient plus tranquille à cause de ce qui se passe dans la rue.,La xew ca mbedd maa ko xañ jàmm.
10559,Il a dit : « qui est-ce ? » Je lui ai dit : « moi certainement ! ».,Dafa ne : « kan la ? » Ma ne ko : « xanaa man ».
10560,Est-ce donc que son mari est venu ?,Xanaa jëkkër jee dikk ?
10561,Plutôt que d'étudier tu t'amuses.,Jànguloo xanaa di fo.
10562,"Je ne lui dirai rien, à moins qu'il ne m'interroge.","Duma ko wax dara, xanaa mu laaj ma."
10563,"Tant que tu ne seras pas parti, il ne se manifestera pas ici.","Feek demuloo, du fi xand."
10564,"Quand tu ronfles, je ne peux pas dormir.","Booy xandoor, duma mëna nelaw."
10565,C'est la cane blanche qui les a mis au monde.,Xanqel bu weex bee leen jur.
10566,Il a acheté une maison vétuste.,Kër gu xant la jénd.
10567,Il lui a vendu une guimbarde.,Ab xantu woto la ko jaay.
10568,"Quand même je n'oserais me plaindre de personne, j'ai le droit de remercier ceux qui me faisaient des dons.","Su ma sañul xarab it, sañ naa gërëm ñi ma daan may."
10569,"Si Dieu te donne une distinction et que tu n'en es pas content, tu ne te plains de personne d'autre que Dieu.","Su la Yàlla joxee ab cër te béguloo ci, xarabuloo kenn ku dul Yàlla."
10570,Entrez dans la pièce des hommes !,Xarafleen ci néegu góor ñi !
10571,"Il l'a épousée, mais ils n'ont pas eu l'occasion de consommer le mariage.","Takk na ko, waaye jotuñoo xarafoo."
10572,Celui qui a conçu cette machine est ingénieux.,"Ki xalaat masin bii, ku xarala la."
10573,C'est à cause de l'ingéniosité dont il a fait preuve qu'on l'a choisi.,Xarala gi mu wone moo tax ñu tànn ko.
10574,Celui qui était pour vous à la cabine technique : votre ami Omar.,Ki leen nekkaloon ci xarala gi di seen xarit Omar.
10575,Le ballon est passé entre les jambes.,Ci xarante tànk yi la bal bi jaar.
10576,C'est l'entrejambe du pantalon qui s'est déchiré.,Xarante tànku tubay bee xottiku.
10577,L'interstice des dents.,Xarante bëñ yi.
10578,J'ai la lèvre gercée.,Sama tuñ mi dafa xarat.
10579,Le fait d'aller en Europe n'implique pas l'abandon de tes pratiques traditionnelles.,Dem Tugal taxula bàyyi say xarbaax.
10580,C'était quand l'Irak était en guerre avec le Koweit.,Ba Irak di xare ak Kowet la woon.
10581,Nous avons récupéré notre pays sans qu'il y ait eu de guerre.,Jot nanu sunu réew te xare amul.
10582,Il réunit aussitôt une armée de mille hommes.,Mu daldi dajale xareb junniy nit.
10583,Ils ont rassemblé leurs fétiches de toute sorte.,Dajale nañu seeni xarfafuufa.
10584,Son village se situe au sud par rapport à nous.,"Dëkkam, xarfu la ñu féete."
10585,"Enlève ce chevron, il est cassé.","Dindil xar googu, dafa damm."
10586,"Le « xar-geen », on l'appelle encore « kepp-kooy ».","Xar-geen, dinañu ko wax itam kepp-kooy."
10587,Le bâton fourchu indique que le chemin bifurque.,Bant bi xar-géppén dafay tegtal ne yoon wi dafa def sél.
10588,Mon ami est venu.,Sama xarit dikk na.
10589,Ami intime.,Xaritu benn bakken.
10590,Celui qui a un ami singe ne voit pas son cache-sexe rester accroché dans un arbre.,"Ku am xaritu golo, sa ngemb du tag."
10591,"Si tu les mets ensemble, ils se lieront vite d'amitié.","Soo leen boolee, dinañu gaawa xaritoo."
10592,Leurs liens d'amitié sont anciens.,Seen ug xaritoo yàgg na.
10593,C'est un morceau de cola.,Aw xaritu guró la.
10594,Il a tout le temps le visage doux.,"Foo ko fekk, xar-kanam gaa ngi lewet."
10595,Ce qui germe au coeur fuse au visage.,"Lu meññ ci xol, jebbi ci xar-kanam."
10596,Les moutons coûteront cher cette année.,Xar dina jafe ren.
10597,Il n'avait aucune dissension avec quiconque.,Amuloon benn xarma-Yàlla ak kenn.
10598,C'est au marigot qu'il contractent la bilharziose.,Ca déeg ba la leen xarñéññ giy dale.
10599,Le siècle actuel tire à sa fin.,Xarnu bi nu tolloo ngiy jeexsi.
10600,"Cinq mille francs, rien que pour faire coudre un boubou-chasuble !","Junni, ci ñawlu ab xar-sànni doŋŋ !"
10601,"Alors, l'État confisqua tous ses biens et il se suicida.","Noonu, nguur gi nangu alalam yépp, mu xaru."
10602,"Quand il est fâché et qu'il se met à pleurer, il se débat comme un possédé sur le sol.","Bu meree bay jooy, dafay xaru ci suuf si."
10603,Ils picorent les grains de mil.,Xaru pepp yi lañuy for.
10604,"Appelez un prêtre, il est à l'agonie.","Wooleen làbbe, mu ngiy xar-xarle."
10605,Il raconte l'agonie de grand-père Omar.,Xar-xarleb maam Omar lay nettali.
10606,"Quand ses épouses s'étaient battues, il les a fustigées en présence de tous.","Ba jabaram ya xeexee, dafa leen xas ci seen kanami ñépp."
10607,"Une fois sorti de la maison, il peut faire ce qui lui plaît.","Bu xasee génn kër gi, mën na def lu ko neex."
10608,Ce ne sont pas tous ceux qui ont proclamé leur volonté de s'engager dans la bataille qui font preuve de courage le moment venu.,Du ña xas ñépp ay wone njaambaar bu ñu ca tolloo.
10609,Il y a des arbres qu'on n'écorce pas.,"Am na garab yu, kenn du leen xas."
10610,Que la gale te tombe dessus !,Yàlla na nga xas !
10611,"Je l'ai mesuré par coudées, cela devait faire deux mètres.","Dama ko xasab, mu wara mat ñaari meetar."
10612,C'est à défaut d'avoir un pagne qu'on mesure la route par coudées.,"Kuy xasab yoon, amul sér."
10613,Deux coudées feront l'affaire.,Ñaari xasab dina baax.
10614,Nettoie l'avant-bras !,Fompal xasabu bi !
10615,"Ma plaie me démange, elle va bientôt être guérie.","Sama góom baa ngiy xasan, léegi mu wér."
10616,Au marché il y a des mangues à foison.,Màngo jaa nga ne xasar ca marse ba.
10617,Cet endroit sent mauvais.,Bërëb bii dafay xasaw.
10618,"Pourtant, le stromaté fiatole est un poisson délicieux.","Ndaxam xasaw, jén wu saf la."
10619,Ton mouton a gardé longtemps sa gale.,"Sa xar mi, xasam ji dafa yàgg ci moom."
10620,Fais-lui une décoction d'écorce de poirier du Cayor.,Baxalal ko xasum dimb.
10621,Ce n'est pas bien de critiquer; chacun a ses travers.,Xaste baaxul; ku nekk am na sikk.
10622,"Retiens ta balle, la chambre est étroite.",Téyeel sa bal bi; néeg bi dafa xat.
10623,L'armoire rend la place exiguë.,Armool bi dafay xatal bërëb bi.
10624,"Si ma présence te gêne, tu me le dis et je m'en vais.","Su dee dama la xatal, nga wax ma ko, ma dem."
10625,Il se débattait pour aller se battre.,Dafa doon xataraayu ngir xeexi.
10626,La coque du fruit du baobab a des poils urticants.,Xottu buy dafay am xatax.
10627,La nouvelle classe est faite en paille d'Andropogon gayanus.,"Kalaas bu bees bi, xat lañu ko liggéeye."
10628,J'ai failli t'oublier.,Xaw naa la fàtte.
10629,Je suis un peu fatigué.,Dama xawa sonn.
10630,"Les veillées avec des griots, c'est du gaspillage d'argent.","Xawaare, yàqum xaalis la."
10631,Son ami est plus raffiné que lui.,Xaritam bee ko gëna xay.
10632,Ne le présente pas aux hôtes; il manque de raffinement.,Bu ko wonale ak gan yi; dafa xayadi.
10633,Ce sont des caïlcedrats qui bordent la route.,Ay xay a séq yoon wi.
10634,Il n'a rendu que de la vomissure contenant de la bile; c'est l'effet du paludisme.,Xayliit rekk la tiisu sibiru la.
10635,Je calcule pour voir si c'est comme ça.,Damay xayma ba xam ndax noonu la.
10636,Il a passé la nuit sous la tente.,Ci xayma bi la fanaan.
10637,J'ai oublié de commencer par prélaver les habits sans savon.,Dama fàttee xayu yére yi.
10638,Frotte le savon pour qu'il mousse !,"Bombal saabu bi, mu xëb !"
10639,Fais mousser le savon.,Xëbalal saabu bi.
10640,Ñaar je lui faisais une menace en l'air pour qu'il ne recommence pas.,Dama ko doon xëbal ndax du ko.
10641,"Tout ce qu'on lui dit, il le déprécie.",Loo ko wax mu xebat ko.
10642,"Ne tire pas, ça va se casser.","Bul xëcc, dafay dog."
10643,Ils se disputent la mangue.,Ñu ngiy xëccoo màngo bi.
10644,Mon lieu de travail est un peu loin.,Sama liggéeyukaay xaw naa xëccu.
10645,La voiture fait des soubresauts.,Woto baa ngiy xëccu.
10646,"Quand il désire une femme, rien ne le retient.","Jigéen ju mu xédd, jaral na ko lu nekk."
10647,Il y a des gens qui ne mangent pas à l'aube pendant le ramadan.,Am na ñu dul xëdd.
10648,"Apporte le repas de l'aube, on va bientôt faire l'appel à la prière.","Indil xëdd bi, léegi ñu nodd."
10649,Il a acheté un grand brochet.,Xédd bu mag la jénd.
10650,Assois-toi sur la palme de rônier.,Toogal ci xëddéen gi.
10651,Des porteurs de palmes de rônier doivent causer avant de porter leurs charges sur leur tête.,Yenukati xëddéen dañuy waxtaan bala ñoo yenu.
10652,J'enlève le chaume de ma case.,Damay xeddi sama néeg.
10653,Ils ont sous-estimé ce que j'ai apporté.,Dañu xeeb li ma indi.
10654,Je trouve insuffisant le riz que tu as pris.,Dama xeeb li nga sàkk ci ceeb.
10655,"Alors que tu sous-estimais ton cordon, il a pu attacher ton fagot.","Xeeb sa takkoon, mu yeew sa aw say."
10656,"Eux, ils chassaient avec une lance.","Ñoom, xeej lañu daan rëbbe."
10657,"Ne me regarde pas avec dédain du coin de l'oeil, je ne t'ai rien fait.","Bu ma xeelu, defuma la dara."
10658,Ton riz sent bon.,Sa ceeb baa ngiy xeeñ.
10659,L'odeur exhalée à la cuisson promet un régal.,"Cin, su naree neex, bu baxee, xeeñ."
10660,Je vais avoir un hôte important aujourd'hui; je veux parfumer mon salon.,Damay am gan gu am-solo tey; dama bëgga xeeñal sama saal.
10661,Pourquoi me fais-tu sentir ton médicament ?,Lu-tax nga may xeeñal sa garab bi ?
10662,Puisque tu as jeuné ne reste pas ici à humer la cuisine des femmes !,Ndegem danga woor bu fu des di xeeñtu toggu jigéen ñi ?
10663,Les Peuls ont le teint clair en général.,Pël yi dañuy faral di xeereer.
10664,On lui a enlevé les amygdales.,Dindil nañu ko xeeru-baat yi.
10665,Il lui a jeté un gros caillou à la tête.,Xeer wu dijj la ko sànni ci bopp.
10666,Celui dont je parle a le teint noir clair.,Ki may wax dafa xees.
