wolof,french
demuloo feneen,tu ne vas pas dans un autre lieu
"Moontin, xale yi ñëw nañu","Et pourtant, les enfants sont venus"
Góor gee dem walla xale yee noppi ?,C'est l'homme qui est parti ou bien ce sont les enfants qui se sont tus ?
fatt,boucher
yépp,tous
Yéena dikkulwoon,Personne n'était venu
Noonee nan ?,Ainsi comment ?
waxi,aller dire
Gis naa xale yi gannaaw yaw.,J'ai vu les enfants sauf toi.
ceetu,le fait de se mirer
"Tày ci suba, tày ci õgoon ma fiy nekk !",Ce matin ou ce soir c'est moi qui suis ici !
jàõg,étudier
ci,dedans
jam-jam,piqûre
sëggtéef,héritier du pouvoir
May na la ndax xale yi beg te it õga ànd ak ñom.,Il t'a fait un cadeau pour que les enfants soient contents et que toi aussi tu les accompagnes.
Jan õga gis?,Lequel as-tu vu ?
Laobe lañuwoon.,Ils ont été bûcherons.
andaar,unité de mesure
Mbaa... !,Est-ce comme je le crains que... !
aji dogal,qui peut décider
Góor gi wax na xale yi wax ju rafet.,L'homme a tenu aux enfants de bons propos.
kon nag dey,dans ce cas alors
goreel,ennoblissement
Gis õga nit kookale ?,"Tu sais, cet homme ?"
daf,souder un trou
"Tay jii, bul dem !","Aujourd'hui, ne sors pas !"
ka,te
"Dem naa, dem õga, dem na...","J'ai été, tu as été, il a été..."
naqadil,rendre désagréable
Koo jox xaalis ?,À qui as-tu donné de l'argent ?
iñaan,jaloux
Ñoom danañu wax,Eux parleront
Deõkël lëf li kenn ki !,Confie la chose à l'un d'entre eux !
cafka,acidité
Kenn kooku yeksi lawoon.,C'est cet autre qui était venu.
Góor gi waxkoon na,L'homme eût parlé
Dem na ci biir.,Il est allé à l'intérieur.
foofile,là a cet endroit
"Dem, rafetoon na !","Avoir été, eût été bon !"
Ñooñii dunu demi,Ceux-là n'iront pas
Gor gii dem,Cet homme qui a été
neex,être agréable
ñenn,quelques-uns parmi les hommes
Séen naa am xar.,J'ai aperçu un mouton.
Xanaa ?,Est-ce par hasard ?
fontu,jouer
nëbbël,cacher pour quelqu'un
demal,accomplir une démarche pour quelqu'un
jiital,mettre en tête
sañc,bâtir
Lëf ki weex na tàll.,La chose est d'un blanc éclatant.
waandar,Saint-Louisien
loolule,ce fait-ci
walla nak,ou alors
araf séexal,géminée
Wax na Musa dara.,Il a dit à Moussa quelque chose.
Yaw la ?,C'est toi ?
Waxal ag Samba rekk !,Parle avec Samba seulement !
ñu,auxquels
kaddu,tonnerre
war,mouton
Góor gi daan na la gis,L'homme te voyait
sabar,tambour
ñaawande,laideur
Ana góor gi mu wax ?,Où est l'homme dont il parle ?
naw,estimer hautement
raõõ-raõõ,de bruits et de mouvement
Seetal jigéen jeneen !,Cherche une autre dame !
foofu nak,à ce moment
Ci ñan õga jëm ?,Tu vas vers qui ?
Wax na ba mi õgi.,Il a tant parlé que le voilà.
Yéegël ba fii !,Monte jusqu'ici !
jépp,le tout
Mi õgi foofule ci biir.,Il est là à l'intérieur.
ak,avec
na,qu'il
Na dugg su bëggée ci biir !,S'il veut qu'il entre à l'intérieur !
ñooñale,celles-là
araf wu ubbéeku,fricative
Gis õga kooku,Tu as vu celui-ci ?
mosal,pourboire
Fabal benn bii bépp !,Prends l'un !
Loolu la.,Voilà ce qu'il est.
Maa demulkoon,C'est moi qui n'aurais pas été
"Noonu itam, ma noppi.","Sur ces entrefaites, je me tus."
jaam,esclave
yooya,lesquels
Looy ñaan ?,Tu pries pour quoi ?
Xar yii yan õga jënd ?,C'est ces moutons que tu avais achetés ?
Jox na nit ki dara.,Il a donné à la personne quelque chose.
"Bëgg na soo demee, mu dellusi te góor gi ñëw.","Il veut, lorsque tu iras que lui, il revienne et que l'homme aussi revienne."
sax,pousse
Yaw mile la !,C'est toi-même !
wàcc,laisser tomber
daa,encre
"xale yi, foofu nag, ñu mer.",les enfants alors se fâchèrent.
Lépp tuuru na.,Le tout s'est renversé.
loolule,ce fait
Ñu dikkul ?,Lesquels ne sont pas venus ?
"Góor gi nee na la fi saõx, õga dem ci biti.",L'homme t'a dit ici il y a un instant de sortir.
Leneen lan ?,Quel autre ?
Góor gi giskoon na la,L'homme t'aurait vu
Dem nañu...,Ils partent...
Gis õga sa xarit yan ?,Tu as vu quels amis à toi ?
Gis naa ki woon.,"J'ai vu celui en question, auparavant."
le,cela là-bas
Kenn nit ki ñëw na.,L'un des hommes est venu.
moontin dey,et pourtant
Ku dem,Qui est parti ?
Xarit yan ño ñëw ?,Quels amis sont arrivés ?
kenn,un seul homme
par,allié
Gis naa kooku woon.,J'ai vu celui-là.
dox,marcher
Góor ñi gisuñu la,Les hommes ne t'ont pas vu
Wool góor gi dul Kajgaamu fii !,Appelle l'homme qui n'est pas un Kangame d'ici !
Keneen kan õga wax ?,Tu parles de qui d'autre ?
xeer,pierre
Ci fii la ba ba ñuy gis feneen.,C'est là jusqu'à ce qu'on trouve un autre endroit.
Du sabar gu rëy.,Ce n'est pas un grand tambour.
Xam õga xale bee ?,Tu connais cet enfant là-bas ?
dawal,faire courir
jam,emporter un enjeu
Dem na...,Il part...
Tannal fasu Waalo wu jigéen.,Choisis une jument du Wâlo.
Ndax góor gi moo dem ?,Est-ce l'homme qui est parti ?
aaye,interdire
Waxati ma la koon dara.,Je ne t'aurais rien répété.
te nak,et enfin
Dana di dem,Il a l'habitude d'aller
moomile,celui-ci
kor,trahison
adducaakoon,phonéticien
dab,rattraper
li,ce qui
"Ba, góor gi bëggul dem","Ainsi, l'homme ne veut pas partir"
jog,se soulever
sas,charge
Yaw doonkoon õga suñu njiit.,Toi tu eusses été notre guide.
sawwu,Est
xor,caillou
te,sans que
Gis naa góor googu demoon Ndar te õga abaloon ka sa gaal.,J'ai vu l'homme qui était parti à Saint-Louis et auquel tu prêtas ta pirogue.
waakaw,habitant de l'intérieur
Suñu sarit la !,C'est notre ami !
taggi,dénicher
Laajal ndax mi õgi fi !,Demande s'il est là !
rucci,relever d'une honte
Jenn jigéen réerul.,Aucune dame ne s'est égarée.
gannaaw,après
Gis õga xale bii woon ?,"Tu vois, ce garçon-là ?"
Liggéey naa ba ci õgoon.,J'ai travaillé jusqu'au soir.
fo,jouer
bopp,tête
Góor gi nitu Ndar la.,L'homme est un Saint-Louisien.
Li mu waxoon la !,C'est ce qu'il a dit qui est vrai !
Kooku keneen la,Celui-là c'est un autre
Kile nit laa wax.,Je parle de cet homme-ci.
Jambaar la ba mu dooy !,C'est un brave à n'en pas douter !
Moo demkoonul,C'est lui qui n'eût pas été
Jigéen lanu.,C'est des femmes.
keneen ku jigéen,une autre femelle
lekk,manger
leneen loolee woon,cet autre fait-là
libbët,être anémié
wër sëg,chance
ma,celui
moyaal,détournement
Su dee dem,Alors qu'il sera en train de partir
kenn,personne
muñ,patienter
Gis õga jigéen ñooñii ?,Tu vois ces femmes-là ?
wër wër lu,aller à droite et à gauche
Gor gii di Lawbe Ndar.,Cet homme qui est un Laobe de Saint-Louis.
Waaw ci fii !,Oui par ici !
Dem õgeen...,Vous partez...
toog,s'asseoir
tëmb,flotter
noonu itam,alors
nëbb,cacher
Xar mi mépp.,Le mouton en entier.
Seetal lëf leneen !,Cherche une autre chose !
Génnéel képp nit koo gis !,Fais sortir tout homme que tu vois !
Seetal sarax su.,Regarde cette aumône.
lu,ce que
Mbëggéelam googee woon a õgi fi ba tay.,C'est son amour d'antan qui survit encore.
wàcc,abandonner
gént,rêver
tali,talus
Nit ñan õga wax ?,Tu parles de quels gens ?
deei,aller mourir
wex,amer
mosal,faire goûter
rax,mélanger
Génnéel mépp xar moo gis !,Fais sortir tout mouton que tu vois !
Waa ji liggéeykoon,L'homme qui eût travaillé
Góor gi demkoon na,L'homme eut été
Kooy seet ?,Qui cherches-tu ?
Gor gii di Lawbe Ndar.,Cet homme est un Laobe de Saint-Louis.
Fu mu bëgg ?,Où veut-il
Nit kii jaõg na,Cet homme a étudié
Dem nañu...,Nous sommes partis...
Gis naa ka ci bir.,Je l'ai vu à l'intérieur.
Bëgg na sa waajur ñëw te nak ñu fay kà.,Il veut que tes parents viennent et surtout qu'ils le payent.
Benn boobule laa la may.,C'est celui-là que je te donne.
Góor googule mi õgii !,Cet homme le voilà !
satala,récipient
xer,rivage
as gane,un petit poulet
Bëgg në õga ñëw ci subë ci juróomi waxtu ci sedd bi !,Je veux que tu viennes le matin à cinq heures dans la fraîcheur !
fetal,fusil
"Góor gi dem na, ma defe !","L'homme est parti, je crois !"
Xammee õga xale bee ?,Tu reconnais cet enfant-ci ?
moom,lui
lépp,chaque
kii,lequel
Mag dëgg là !,C'est un homme mûr véritablement !
suuf,le bas
nkor,trahison
dac,entrer en contact avec
Góor gii demoon,Cet homme qui était parti
fi,dès que
Góor gi mu àndi,L'homme qu'il a amené
Xar yooyu yan õga moom ?,Les quels moutons t'appartiennent ?
Xar yii yan õga jënd ?,Quels moutons avais-tu achetés ?
Boroom kër la.,C'est un maître de maison.
Ana foo jëm ?,Où est-ce que tu vas ?
kuu,celui-là
Su góor gi dee ñëw,Si l'homme vient
Gis naa seen yeneen xarit !,J'ai vu d'autres amis à vous !
testën,plante de pied
Mbaa kenn génnul ?,J'espère que nul n'est sorti ?
Dóor na ka ba mi õgi.,Il l'a battu à telle enseigne qu'il est là.
coppeekuwaay,manière de changer
opp,maladie
facc,éclater
Moo dem,C'est lui qui est parti ?
gasax,ver de terre
Joxal téere bi doomu nit ku yaru kooku !,Donnes le livre à ce fils bien élevé !
Bët,Oeil
dañal,caracoler
Àndal ak yar !,Sois avec politesse !
Loo gis ?,Qui as-tu vu ?
lale,là-bas
Dem õga...,Tu es parti...
"Defe naa, keneen kii la !",C'est l'autre je crois !
"Dellu biir Ndar, soo bëggée.","Retourne au centre de Saint-Louis, si tu veux."
Seen gaynde gi xar la.,Leur lion c'est un mouton.
waaréw,nationaux
Gis na sa xarit yeneen yi !,Il a vu tes autres amis !
bootaay,manière de porter sur le dos
joor,arrière-pays
Deõkël lëf li kenn ki !,Confie la chose à l'un !
Yaw dem õga,Toi tu as été
jëmentalukaay,terrain d'essai
Waa ji demkoon na,L'individu devait partir
"Wax ji yépp, bañ-õga-ñëw la.","Tout ce verbiage, c'est pour que tu ne viennes pas."
Tay ci õgoon.,Aujourd'hui dans la soirée.
jëfkat,homme d'action
Suñu bëggul,S'ils ne veulent pas
jarabibaat,femme qui épouse son oncle
Àna õga ?,Où es-tu ?
Góor googule ga nëwoon dellu na,L'homme qui vint s'en est allé
addu,répondre
daõdaõluji,aller s'exciter quelque part
safaay,le piquant
nëbël,pourrir
Meneen xar mépp moo gis.,Tout autre mouton que tu vois.
Kooku daawoon dem,Celui-là qui avait l'habitude d'aller
lal,lit
góox,absorber une forte gorgée
Waa ji demkoon na,L'individu serait parti
Gis naa jeeg ji.,Il a vu les dames.
dem õga ?,tu as été ?
Daõga gis kan ?,Quel homme as-tu vu ?
araf wu séex,gémination
Deõkël lëf li kenn ki !,Confie la chose à l'un d'eux !
Ñaaw na ndax keneen ki.,Ce n'est pas gentil pour l'autre.
laõ,s'exiler plus ou moins définitivement
ña,auxquels
bokk,détenir en commun
googii,celui
dogal,halte
lem,plier
Jigéen joojule mu àndaloon mooy Ngóone.,C'est cette femme qu'il accompagnait qui est Ngone.
xarxarle,agoniser
Weneen fas la bëgg !,C'est un autre cheval que je veux !
Koo gis?,Qui vois-tu ?
tuur,verser
Góor gi nee na soo demee mi õgi fi.,L'homme dit qu'il serait peut-être là.
ndax,afin que
Ana góor gi ?,Où est l'homme ?
Xam naa xale yi.,Je connais les enfants.
Nit õgeen !,Vous avez été quelqu'un !
ba,jusqu'au moment où
waxkat,bavard
naka,du moment que
Góor gi moo demulwoon,C'est l'homme qui n'a pas été
